subject_name,course_link,course_Name,course_Code,uoc,conditions_For_Enrolment,exclusion_Courses,faculty,school,offering_Term,COURSEID
 Accounting,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ACCT4794/?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&,Thesis (Accounting),ACCT4794,24,Prerequisite: Must be enrolled in program 4501 (Accounting),,UNSW Business School,School of Accounting,"Term 1, Term 2, Term 3",1
 Actuarial Studies,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ACTL4000/?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&,Thesis (Actuarial Studies),ACTL4000,24,Prerequisite: Admission to BCom Hons in Actuarial Studies,,UNSW Business School,School of Risk and Actuarial Studies,"Term 1, Term 2, Term 3",2
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4603/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Dance Studies Honours,ARTS4603,24,Prerequisite: Enrolment in the Dance Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",3
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4607/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,English Honours,ARTS4607,24,Prerequisite: Enrolment in the English honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",4
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4611/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Film Studies Honours,ARTS4611,24,Prerequisite: Enrolment in the Film Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",5
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4615/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,"Media, Culture and Technology Honours",ARTS4615,24,"Prerequisite: Enrolment in Media, Culture and Technology honours program",,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",6
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4619/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Theatre and Performance Studies Honours,ARTS4619,24,Prerequisite: Enrolment in Theatre and Performance Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",7
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4623/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Creative Writing Honours,ARTS4623,24,Prerequisite: Enrolment in a Creative Writing honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",8
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4703/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Environmental Humanities Honours,ARTS4703,24,Prerequisite: Enrolment in Environmental Humanities honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",9
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4707/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,History Honours,ARTS4707,24,Prerequisite: Enrolment in the History honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",10
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4715/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Philosophy Honours,ARTS4715,24,Prerequisite: Enrolment in the Philosophy honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",11
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4813/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Asian Studies Honours,ARTS4813,24,Prerequisite: Enrolment in the Asian Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",12
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4817/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Chinese Studies Honours,ARTS4817,24,Prerequisite: Enrolment in the Chinese Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",13
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4821/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,French Studies Honours,ARTS4821,24,Prerequisite: Enrolment in the French Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",14
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4825/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Spanish & Latin American Studies Honours,ARTS4825,24,Prerequisite: Enrolment in the Spanish and Latin American Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",15
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4829/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Japanese Studies Honours,ARTS4829,24,Prerequisite: Enrolment in the Japanese Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",16
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4833/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Korean Studies Honours,ARTS4833,24,Prerequisite: Enrolment in the Korean Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",17
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4837/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Linguistics Honours,ARTS4837,24,Prerequisite: Enrolment in the Linguistics honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",18
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4841/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,German Studies Honours,ARTS4841,24,Prerequisite: Enrolment in the German Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",19
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4903/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Development Studies Honours,ARTS4903,24,Prerequisite: Enrolment in the Development Studies honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",20
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4907/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,European Studies Honours,ARTS4907,24,Prerequisite: Enrolment in the European Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",21
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4915/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,International Relations Honours,ARTS4915,24,Prerequisite: Enrolment in the International Relations honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",22
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4919/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Politics Honours,ARTS4919,24,Prerequisite: Enrolment in the Politics honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",23
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4923/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Sociology and Anthropology Honours,ARTS4923,24,Prerequisite: Enrolment in the Sociology and Anthropology honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",24
 Nura Gili (Indigenous Programs),https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ATSI4102/?browseBySubjectArea=c9ce03204f0f5b00eeb3eb4f0310c726&,Indigenous Studies Honours II,ATSI4102,24,null,,null,Nura Gili Indigenous Programs,Term 2,25
 Aviation,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/AVIA2014/?browseBySubjectArea=45ce03204f0f5b00eeb3eb4f0310c730&,Flight Operations 2,AVIA2014,24,null,,Faculty of Science,School of Aviation,,26
 Aviation,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/AVIA3014/?browseBySubjectArea=45ce03204f0f5b00eeb3eb4f0310c730&,Flight Operations 3,AVIA3014,24,null,,Faculty of Science,School of Aviation,,27
 Aviation,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/AVIA4001/?browseBySubjectArea=45ce03204f0f5b00eeb3eb4f0310c730&,Aviation Honours - Full Time,AVIA4001,24,Prerequisite: Enrolled in AVIA Honours,,Faculty of Science,School of Aviation,Term 1,28
 Biotechnology & Biomolecular Sciences,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BABS4053/?browseBySubjectArea=81ce03204f0f5b00eeb3eb4f0310c735&,Biotechnology Research Project,BABS4053,24,Prerequisite: Completion of 144 UOC of courses in the 3052 Bachelor of Science (Biotechnology) program.,,Faculty of Science,School of Biotechnology and Biomolecular Sciences,,29
 Biotechnology & Biomolecular Sciences,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BABS4524/?browseBySubjectArea=81ce03204f0f5b00eeb3eb4f0310c735&,Biotechnology and Biomolecular Sciences Honours 24 Units of Credit,BABS4524,24,Pre: Enrolled in BABS Honours plan,,Faculty of Science,School of Biotechnology and Biomolecular Sciences,,30
" Biological, Earth & Environmental Science",https://www.handbook.unsw.edu.au/undergraduate/courses/2019/BEES4514/?browseBySubjectArea=cdce03204f0f5b00eeb3eb4f0310c739&,"Biological, Earth and Environmental Sciences Honours - 24 Units of Credit",BEES4514,24,null,,Faculty of Science,"School of Biological, Earth and Environmental Sciences",Term 1,31
 Biochemistry,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/BIOC4103/?browseBySubjectArea=d1ce03204f0f5b00eeb3eb4f0310c74d&,Genetics 4 Honours Full-Time,BIOC4103,24,null,,Faculty of Science,School of Biotechnology and Biomolecular Sciences,,32
 Biochemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BIOC4318/?browseBySubjectArea=d1ce03204f0f5b00eeb3eb4f0310c74d&,Biochemistry 4 Honours Full-Time,BIOC4318,24,null,,Faculty of Science,School of Biotechnology and Biomolecular Sciences,,33
 Biochemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BIOC4428/?browseBySubjectArea=d1ce03204f0f5b00eeb3eb4f0310c74d&,Molecular Biology 4 Honours Full-Time,BIOC4428,24,null,,Faculty of Science,School of Biotechnology and Biomolecular Sciences,,34
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4003/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Advanced Chemistry 4 Honours,CHEM4003,24,null,,Faculty of Science,School of Chemistry,,35
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4004/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Advanced Chemistry 4 Honours (Mid-Year Start),CHEM4004,24,null,,Faculty of Science,School of Chemistry,,36
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4005/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Chemical Sciences 4 (Honours),CHEM4005,24,null,,Faculty of Science,School of Chemistry,,37
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4006/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Honours in Medicinal Chemistry,CHEM4006,24,null,,Faculty of Science,School of Chemistry,,38
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4524/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Chemistry Honours Project 24 UOC,CHEM4524,24,null,,Faculty of Science,School of Chemistry,Term 1,39
 Criminology,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CRIM4004/?browseBySubjectArea=ddce03204f0f5b00eeb3eb4f0310c786&,Criminology Honours,CRIM4004,24,Prerequisite: Enrolment in the Criminology honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",40
 Education Studies,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/EDST4504/?browseBySubjectArea=21ce03204f0f5b00eeb3eb4f0310c79f&,Education Honours,EDST4504,24,Prerequisite: Enrolment in the Education honours program,,Faculty of Arts and Social Sciences,School of Education,"Term 1, Term 2, Term 3",41
 Finance,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/FINS4795/?browseBySubjectArea=25ce03204f0f5b00eeb3eb4f0310c7b2&,Thesis (Finance),FINS4795,24,null,,UNSW Business School,School of Banking and Finance,,42
 Food Technology,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/FOOD9420/?browseBySubjectArea=61ce03204f0f5b00eeb3eb4f0310c7b7&,Food Science and Technology (Honours),FOOD9420,24,null,,Faculty of Engineering,School of Chemical Engineering,,43
 Food Technology,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/FOOD9430/?browseBySubjectArea=61ce03204f0f5b00eeb3eb4f0310c7b7&,Food Science (Honours),FOOD9430,24,null,,Faculty of Engineering,School of Chemical Engineering,,44
 Mathematics,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MATH4103/?browseBySubjectArea=cece43204f0f5b00eeb3eb4f0310c720&,Applied Mathematics Honours (Full Time),MATH4103,24,null,,Faculty of Science,School of Mathematics & Statistics,,45
 Mathematics,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MATH4603/?browseBySubjectArea=cece43204f0f5b00eeb3eb4f0310c720&,Pure Mathematics Honours (Full Time),MATH4603,24,null,,Faculty of Science,School of Mathematics & Statistics,,46
 Mathematics,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MATH4903/?browseBySubjectArea=cece43204f0f5b00eeb3eb4f0310c720&,Statistics Honours (Full Time),MATH4903,24,null,,Faculty of Science,School of Mathematics & Statistics,,47
 Materials Science and Engineering,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MATS4501/?browseBySubjectArea=0ece43204f0f5b00eeb3eb4f0310c725&,Honours Project B,MATS4501,24,Prerequisite: Enrolled in Materials Science Honours Plan,,Faculty of Science,School of Materials Science & Engineering,,48
 Media,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MDIA4003/?browseBySubjectArea=4ace43204f0f5b00eeb3eb4f0310c72a&,Media Honours,MDIA4003,24,Prerequisite: Enrolment in the Media honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",49
 Medicine,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MFAC2505/?browseBySubjectArea=c2ce43204f0f5b00eeb3eb4f0310c734&,Integrated Clinical Studies A,MFAC2505,24,null,,Faculty of Medicine,null,,50
 Medicine,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MFAC2506/?browseBySubjectArea=c2ce43204f0f5b00eeb3eb4f0310c734&,Integrated Clinical Studies B,MFAC2506,24,null,,Faculty of Medicine,null,,51
 Music,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MUSC4012/?browseBySubjectArea=46ce43204f0f5b00eeb3eb4f0310c762&,Music Honours,MUSC4012,24,Prerequisite: Enrolment in a single or double Music (Honours) program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",52
 Physics,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/PHYS4103/?browseBySubjectArea=d6ce43204f0f5b00eeb3eb4f0310c792&,Physics 4 Honours Full Time,PHYS4103,24,null,,Faculty of Science,School of Physics,,53
 Planning and Urban Development,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/PLAN0081/?browseBySubjectArea=16ce43204f0f5b00eeb3eb4f0310c797&,Work Experience,PLAN0081,24,null,,Faculty of Built Environment,School of Built Environment,Summer Term,54
 Planning and Urban Development,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/PLAN0082/?browseBySubjectArea=16ce43204f0f5b00eeb3eb4f0310c797&,Work Experience,PLAN0082,24,null,,Faculty of Built Environment,School of Built Environment,Summer Term,55
 Social Research and Policy,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/SRAP4054/?browseBySubjectArea=26ce43204f0f5b00eeb3eb4f0310c7e4&,Social Research and Policy Honours,SRAP4054,24,Prerequisite: Enrolment in the Social Research and Policy honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",56
 Vision Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/VISN4003/?browseBySubjectArea=eace43204f0f5b00eeb3eb4f0310c7f6&,Vision Science Honours,VISN4003,24,Prerequisite: Enrolled in VISN Honours,,Faculty of Science,School of Optometry and Vision Science,"Term 1, Term 2",57
 Business,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ZBUS4102/?browseBySubjectArea=66ce83204f0f5b00eeb3eb4f0310c700&,Business Research 2 (Honours),ZBUS4102,24,null,,UNSW Canberra at ADFA,UC School of Business,Semester 2,58
 Information Technology & Electrical Engineering,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ZEIT4103/?browseBySubjectArea=a2ce83204f0f5b00eeb3eb4f0310c705&,Computer Science Honours Special Topic 3,ZEIT4103,24,null,,UNSW Canberra at ADFA,UC Engineering & Information Technology,"Semester 1, Semester 2",59
 Information Technology & Electrical Engineering,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ZEIT4112/?browseBySubjectArea=a2ce83204f0f5b00eeb3eb4f0310c705&,Information Technology Honours Research 2,ZEIT4112,24,null,,UNSW Canberra at ADFA,UC Engineering & Information Technology,"Semester 1, Semester 2",60
 Information Technology & Electrical Engineering,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ZEIT4303/?browseBySubjectArea=a2ce83204f0f5b00eeb3eb4f0310c705&,Information Systems Honours Special Topic 3,ZEIT4303,24,null,,UNSW Canberra at ADFA,UC Engineering & Information Technology,"Semester 1, Semester 2",61
 Humanities & Social Sciences,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ZHSS4002/?browseBySubjectArea=e2ce83204f0f5b00eeb3eb4f0310c71b&,Arts Honours Research 2,ZHSS4002,24,null,,UNSW Canberra at ADFA,UC School of Humanities and Social Sciences,Semester 2,62
" Physical, Environmental & Mathematical Sciences",https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ZPEM4002/?browseBySubjectArea=6ece83204f0f5b00eeb3eb4f0310c724&,Science Honours Research 2,ZPEM4002,24,null,,UNSW Canberra at ADFA,"UC Physical, Environmental and Mathematical Sciences","Semester 1, Semester 2",63
 Social Work,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/SOCW4010/?browseBySubjectArea=22ce43204f0f5b00eeb3eb4f0310c7d1&,Social Work Practice - Level Four Placement,SOCW4010,24,Prerequisite: 120 uoc overall including 24uoc in core Level 4 SOCW courses,SOCW4014,Faculty of Arts and Social Sciences,School of Social Sciences,,64
 Food Technology,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/FOOD9410/?browseBySubjectArea=61ce03204f0f5b00eeb3eb4f0310c7b7&,Honours Research Project,FOOD9410,21,null,,Faculty of Engineering,School of Chemical Engineering,,65
 Art and Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ADAD4011/?browseBySubjectArea=b8ce03204f0f5b00eeb3eb4f0310c70e&,Honours Research Project B,ADAD4011,18,Must have completed ADAD4010,,Faculty of Art & Design,School of Art & Design,Term 1,66
 Architecture,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARCH1394/?browseBySubjectArea=41ce03204f0f5b00eeb3eb4f0310c71d&,Honours Research Project 1,ARCH1394,18,null,,Faculty of Built Environment,School of Built Environment,,67
 Architecture,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARCH1483/?browseBySubjectArea=41ce03204f0f5b00eeb3eb4f0310c71d&,Honours Thesis,ARCH1483,18,null,,Faculty of Built Environment,School of Built Environment,,68
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4602/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Dance Studies Honours,ARTS4602,18,Prerequisite: Enrolment in the Dance Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",69
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4606/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,English Honours,ARTS4606,18,Prerequisite: Enrolment in the English honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",70
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4610/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Film Studies Honours,ARTS4610,18,Prerequisite: Enrolment in the Film Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",71
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4614/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,"Media, Culture and Technology Honours",ARTS4614,18,"Prerequisite: Enrolment in Media, Culture and Technology honours program",,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",72
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4618/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Theatre and Performance Studies Honours,ARTS4618,18,Prerequisite: Enrolment in Theatre and Performance Studies honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",73
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4622/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Creative Writing Honours,ARTS4622,18,Prerequisite: Enrolment in a Creative Writing honours program,,Faculty of Arts and Social Sciences,School of Arts and Media,"Term 1, Term 2, Term 3",74
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4702/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Environmental Humanities Honours,ARTS4702,18,Prerequisite: Enrolment in Environmental Humanities honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",75
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4706/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,History Honours,ARTS4706,18,Prerequisite: Enrolment in the History honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",76
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4714/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Philosophy Honours,ARTS4714,18,Prerequisite: Enrolment in the Philosophy honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",77
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4812/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Asian Studies Honours,ARTS4812,18,Prerequisite: Enrolment in the Asian Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",78
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4816/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Chinese Studies Honours,ARTS4816,18,Prerequisite: Enrolment in the Chinese Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",79
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4820/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,French Studies Honours,ARTS4820,18,Prerequisite: Enrolment in the French Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",80
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4824/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Spanish & Latin American Studies Honours,ARTS4824,18,Prerequisite: Enrolment in the Spanish and Latin American Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",81
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4828/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Japanese Studies Honours,ARTS4828,18,Prerequisite: Enrolment in the Japanese Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",82
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4832/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Korean Studies Honours,ARTS4832,18,Prerequisite: Enrolment in the Korean Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",83
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4836/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Linguistics Honours,ARTS4836,18,Prerequisite: Enrolment in the Linguistics honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",84
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4840/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,German Studies Honours,ARTS4840,18,Prerequisite: Enrolment in the German Studies honours program,,Faculty of Arts and Social Sciences,School of Humanities and Languages,"Term 1, Term 2, Term 3",85
 Disciplinary and Interdisciplinary Humanities,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS4902/?browseBySubjectArea=8dce03204f0f5b00eeb3eb4f0310c721&,Development Studies Honours,ARTS4902,18,Prerequisite: Enrolment in the Development Studies honours program,,Faculty of Arts and Social Sciences,School of Social Sciences,"Term 1, Term 2, Term 3",86
